StartDate,EndDate,Progress,Duration__in_seconds_,Finished,Age,Edu,Race,Politics,PRegion,Region,SES,G,G_9_TEXT,FamRace,DispMC,ContMC,S1,S2,S3,S4,Attention,S5,S6,S7,S8,S9,N1,N2,N3,N4,N5,N6,N7,clean,wash,six,mask,closed,number,more,VaccineY,HaveCOVID,HadCOVID,MC1,MC2,MC3,MC4,MC5,MC6,VaccineIntention,MandatoryVaccine,PrivatizationSupport,PublicHealthInvest,HealthTaxIncrease,EmergencyAssistanceSupport,MR1,MR2,MR3,MR4,MR5,MR6,MR7,MR8,ID1,ID2,ID3,ID4,FL_18_DO_RacismCondition,FL_18_DO_Control,S2R,S4R,S6R,S7R,S9R,N5R,N6R,moreR,numberR,MC4R,MC5R,fullpriR,MR2R,ID1R,ID3R,Condition,Severity,Normalcy,HealthBehaviors,Disparities,ModRace,WhiteID
2/10/2021 5:59:47,2/10/2021 6:08:48,100,540,1,39,9,1,30,5,5,6,0, ,3,1, ,7,2,7,1,5,7,1,1,6,2,4,3,4,3,5,5,4,5,7,7,7,7,1,1,2,4,4,2,5,5,4,5,4,7,7,1,7,1,7,1,1,4,7,4,3,1,1,7,1,7,1,1, ,6,7,7,7,6,3,3,7,7,4,3,7,7,1,1,1,6.66666666666667,3.42857142857143,6.66666666666667,3.8,3,1
2/10/2021 5:58:56,2/10/2021 6:09:49,100,653,1,48,8,1,100,5,3,6,0, ,2, ,1,7,7,7,1,5,7,1,1,1,7,1,7,7,1,3,3,6,7,7,7,7,1,1,1,2,4,4,1,1,1,1,7,1,7,6,1,7,7,7,1,7,1,7,1,1,1,1,1,7,1,7, ,1,1,7,7,7,1,5,5,7,7,7,1,7,1,7,7,0,5,4.57142857142857,7,1,1,7
2/10/2021 5:57:10,2/10/2021 6:10:04,100,774,1,36,5,1,28,5,5,2,1, ,4,2, ,5,3,7,1,5,7,3,1,5,3,5,3,5,1,7,1,1,5,7,7,7,7,3,4,2,4,4,3,5,7,3,7,1,7,7,7,7,5,7,1,3,5,3,5,3,1,5,5,7,3,7,1, ,5,7,5,7,5,1,7,4,5,5,1,1,5,3,5,1,5.88888888888889,3.28571428571429,5.83333333333333,3.4,3.57142857142857,7
2/10/2021 5:59:22,2/10/2021 6:10:27,100,664,1,44,8,1,50,3,5,6,0, ,4,1, ,7,1,7,1,5,7,1,1,7,1,4,5,3,1,7,7,1,7,7,7,7,7,1,1,2,4,2,7,7,7,1,3,7,7,7,7,7,4,7,1,7,4,7,1,1,1,1,7,1,7,1,1, ,7,7,7,7,7,1,1,7,7,7,5,1,1,1,1,1,7,2.28571428571429,7,6.6,1.42857142857143,1
2/10/2021 6:02:15,2/10/2021 6:10:34,100,499,1,23,9,1,18,5,5,6,0, ,2, ,1,7,1,7,1,5,6,1,1,4,1,1,3,4,4,4,1,1,7,7,6,7,7,2,1,2,4,4,4,6,4,3,6,3,7,7,1,7,5,7,1,7,3,7,1,3,1,1,5,2,6,2, ,1,7,7,7,7,7,4,7,7,6,5,2,7,1,3,2,0,6.55555555555556,3.42857142857143,6.66666666666667,3.8,1.57142857142857,2
2/10/2021 6:09:49,2/10/2021 6:10:38,100,48,1,25,8,4,55,3,3,2,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 5:57:31,2/10/2021 6:10:48,100,797,1,43,9,1,31,5,5,6,1, ,2,1, ,7,1,7,1,5,7,1,1,3,1,3,3,5,3,2,2,1,5,7,4,7,5,1,1,2,4,2,4,6,5,5,6,5,7,2,1,7,5,5,1,5,5,5,2,3,1,1,7,1,7,1,1, ,7,7,7,7,7,6,6,7,7,3,2,7,3,1,1,1,6.55555555555556,3.85714285714286,6.16666666666667,4.4,2.28571428571429,1
2/10/2021 5:55:47,2/10/2021 6:11:05,100,917,1,42,8,1,38,5,5,6,0, ,2,1, ,7,1,7,1,5,7,1,1,7,1,1,2,1,1,7,7,1,7,7,7,7,2,1,1,2,4,4,7,7,7,5,3,7,7,3,1,7,5,7,1,7,1,6,1,1,1,1,7,1,7,1,1, ,7,7,7,7,7,1,1,7,7,3,5,7,1,1,1,1,7,1.14285714285714,7,6.6,1,1
2/10/2021 6:06:35,2/10/2021 6:11:26,100,290,1,23,9,1,0,5,5,4,0, ,3,1, ,7,1,7,1,5,7,1,7,7,1,1,1,1,1,7,7,1,5,7,7,7,5,1,1,2,4,4,4,7,7,1,3,7,7,7,1,7,1,7,1,7,1,1,1,1,1,1,6,1,4,1,1, ,7,7,7,1,7,1,1,7,7,7,5,7,1,2,4,1,6.33333333333333,1,6.66666666666667,6,1,1
2/10/2021 6:10:26,2/10/2021 6:11:47,100,81,1,21,9,6,100,3,3,3,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 6:06:22,2/10/2021 6:12:20,100,357,1,38,9,1,51,4,4,4,0, ,4,1, ,7,1,7,1,5,7,1,1,7,1,1,1,2,1,7,7,1,7,7,7,7,6,1,1,2,4,4,7,6,6,7,6,6,7,7,1,7,6,7,1,5,1,5,1,1,1,1,1,1,1,1,1, ,7,7,7,7,7,1,1,7,7,1,2,7,3,7,7,1,7,1.14285714285714,7,5.4,1.28571428571429,1
